Orthant 1, Orthant 2, Distance, Iterations, Tree 1, Tree 2, Message
5,5,3.082207001484488,4,"((((A4:3,A6:2):1,A3:2):4,A2:2):2,(A1:1,A5:3):0,A7:2);","(((((A4:3,A6:0.5):0,A3:2):2.5,A2:1):3,A5:3):1,A1:2,A7:2);",null
5,6,3.082207001484488,3,"((((A4:3,A6:2):1,A3:2):4,A2:2):2,(A1:1,A5:3):0,A7:2);","((((A3:2,A4:3,A6:0.5):2.5,A2:1):3,A5:3):1,A1:2,A7:2);",null
5,106,3.082207001484488,4,"((((A4:3,A6:2):1,A3:2):4,A2:2):2,(A1:1,A5:3):0,A7:2);","(((((A3:2,A6:0.5):0,A4:3):2.5,A2:1):3,A5:3):1,A1:2,A7:2);",null
7,5,3.082207001484488,6,"(((((A4:3,A6:2):1,A3:2):4,A2:2):2,A5:3):0,A1:1,A7:2);","(((((A4:3,A6:0.5):0,A3:2):2.5,A2:1):3,A5:3):1,A1:2,A7:2);",null
7,6,3.082207001484488,4,"(((((A4:3,A6:2):1,A3:2):4,A2:2):2,A5:3):0.0000000001,A1:0.9999999999,A7:2);","((((A3:2,A4:3,A6:0.5):2.5,A2:1):3,A5:3):1,A1:2,A7:2);",null
7,106,3.082207001484488,4,"(((((A4:3,A6:2):1,A3:2):4,A2:2):2,A5:3):0,A1:1,A7:2);","(((((A3:2,A6:0.5):0,A4:3):2.5,A2:1):3,A5:3):1,A1:2,A7:2);",null
8,5,3.082207001484488,4,"(((((A4:3,A6:2):1,A3:2):4,A2:2):2,A1:1):0,A5:3,A7:2);","(((((A4:3,A6:0.5):0,A3:2):2.5,A2:1):3,A5:3):1,A1:2,A7:2);",null
8,6,3.082207001484488,4,"(((((A4:3,A6:2):1,A3:2):4,A2:2):2,A1:1):0,A5:3,A7:2);","((((A3:2,A4:3,A6:0.5):2.5,A2:1):3,A5:3):1,A1:2,A7:2);",null
8,106,3.082207001484488,4,"(((((A4:3,A6:2):1,A3:2):4,A2:2):2,A1:1):0,A5:3,A7:2);","(((((A3:2,A6:0.5):0,A4:3):2.5,A2:1):3,A5:3):1,A1:2,A7:2);",null
5,26,3.3166247903554,4,"((((A4:3,A6:2):1,A3:2):4,A2:2):2,(A1:1,A5:3):0,A7:2);","((A1:1.5,A5:3):0.5,(((A4:3,A6:0.5):0,A3:2):2.5,A2:1):4,A7:2);",null
5,27,3.3166247903554,3,"((((A4:3,A6:2):1,A3:2):4,A2:2):2,(A1:1,A5:3):0,A7:2);","((A1:1.5,A5:3):0.5,((A3:2,A4:3,A6:0.5):2.5,A2:1):4,A7:2);",null
